ID;Количество комнат;Новостройка/вторичка;Метро;Время до метро;Способ;Адрес;Площадь, м2;Этаж;Этажей;Тип;Цена;Описание;Балкон;Окна;Санузел;Год постройки;Лифт;Ссылка на объявление
156605497;2;новостройка;м.Черкизовская;10;пешком;Москва, Амурская улица, 3С11;59.0;7;39;Монолитный;6933859;Продается квартира в новом жилом комплексе  Амурская.Жилой комплекс комфорткласса выгодно расположен в одном из самых перспективных и зеленых районов на Востоке Москвы.Всего 7 минут пешком до м. Черкизовская и МЦК Локомотив. Время пути от ЖК до центра Москвы по прямой ветке метро занимает ровно 30 минут. Комплекс состоит из десяти башен, объединенных попарно стилобатами в композицию из пяти блоковкварталов. ЖК строится по монолитной технологии комбинированный вентилируемый фасад, в отделке используется клинкерный кирпич, гранит, металлические решеткиЗа счет стилобатной части формируется собственная внутренняя среда в каждом квартале, отделенная от окружающей застройки. Уникальная концепция благоустройства территории включает собственный парк с многолетними деревьями, парковку 1119 мест детский сад, места для хранения велосипедов, ландшафтный дизайн в каждом дворе и озеленение кровли. В 10 минутах пешком от  Амурская находится живописный Сиреневый сад, в 10 минутах на велос, 5 фото;нет;На улицу;Совмещенный (1);2019;да;https://www.cian.ru/sale/flat/156605497
156070221;1;вторичка;м.Беляево;10;пешком;Москва, улица Введенского, 21;32.2;2;5;Панельный;5890000;Уникальное предложение Продаю квартиру с Евроремонтом, со встроенной техникой . Можно просто заехать и жить. Квартира в идеальном состоянии, фото соответствуют. Стеклопакеты, балкон застеклен, на полу ламинат. В комнате два окна. Квартира теплая и светлая. Мебель сделана под заказ. Комната разделена на две зоны гостиная и спальня с большой кроватью, новый кондиционер. Красиво и удобно сделано освещение. Санузел совмещенный. Комната изолированная. Приятный вид из окна. Рядом с домом парковка. Подъезд чистый, хорошие соседи. Дом расположен в районе с развитой инфраструктурой у метро ТЦ Капитолий, АШАН, БИЛЛА, поблизости супермаркет Я Любимый, школы и детские сады, поликлиника. Близко Битцевский лесопарк 35 минут пешком, вход с благоустроенной стороны, детская и спортивная площадки, горнолыжный спуск. Один собственник по ДКП от 2013г, свободная продажа, никто не зарегистрирован, быстрый выход на сделку., 15 фото;нет;На улицу;Совмещенный (1);;да;https://www.cian.ru/sale/flat/156070221
155420816;1;вторичка;;не указано;не указано;Москва, Кокошкино дп, улица Дзержинского, 5;31.0;5;5;Кирпичный;3450000;Прописка Москва 3540 минут до Киевского вокзала. Теплая однокомнатная квартира в кирпичном доме, с полным ремонтом и застеклением окон и балкона, 1 взрослый собственник, квартира была куплена по договору куплипродажи, рядом поликлиника, магазины, детский сад, школа, почта, сбербанк, аптеки. Московские автобусы до метро Югозападня, Саларьево, Тропарево, Теплый стан. Автомобилистам  удобный выезд на Минское шоссе без пробок., 6 фото;нет;На улицу;Совмещенный (1);;да;https://www.cian.ru/sale/flat/155420816
151730037;1;новостройка;м.Пятницкоешоссе;30;транспортом;Москва, Зеленоград, Заречная улица, 23;20.7;12;18;Монолитный;2217106;Новостройка Продается 1комн. квра площадью 20,74 кв.м, Корпус 8, Секция 2  12 этаж 18этажного дома в Мкрн Жемчужина Зеленограда от ГК ПИК. Микрорайон Жемчужина Зеленограда  новый масштабный проект комплексной застройки на территории микрорайона 17. Зеленоградский административный округ  один из самых экологически чистых районов столицы общая площадь зеленых насаждений здесь составляет около 30. Рядом расположены два крупных лесничества  Крюковское и Сходненское, поэтому с юга и запада новый микрорайон окружен лесопарковой зоной, на его территории находятся три небольших пруда. Кроме того, Зеленоград называют Русской Кремниевой долиной  как научнопроизводственный центр российской электроники и микроэлектроники. Жемчужина Зеленограда возводится по новейшей концепции организации жилого пространства  она подразумевает не только строительство жилья повышенной комфортности с развитой инфраструктурой для учебы и отдыха, но и обеспечение жителей максимальным количеством рабочих ме ..., 9 фото;нет;Во двор;Совмещенный (1);2018;да;https://www.cian.ru/sale/flat/151730037
156725878;1;новостройка;м.ТеплыйСтан;15;транспортом;Москва, пос. Коммунарка, 3;22.4;1;24;Монолитно-кирпичный;2240000;Продается 1комн. квра площадью 22,4 кв.м на 1 этаже 24 этажного  дома в ЖК Новая Звезда  от компании КРОСТ. Жилой комплекс Новая Звезда строится в поселке Газопровод поселения Сосенское Новомосковского округа города Москвы. Это новый проект, предусматривающий строительство многоэтажных монолитных жилых домов переменной этажности. Все фасады домов будут очень красиво оформлены и объединены в единую стройную композицию, как на звездной сцене. В домах применяется панорамное остекление, в результате в квартиры проникает большое количество света, что позволяет экономить на электроэнергии. Помимо жилых домов будут построены школа и детские сады, молочная кухня. Построят кафе, рестораны, фитнесцентры, появятся отделения связи и банков. Через поселок Газопровод проходят 2 автобусных маршрута, на которых можно доехать до станции метро Теплый Стан. В обозримом будущем планируется строительство новой линии метро, которая будет проходить через поселок Газопровод. Рядом с поселком Газопроовод  ..., 20 фото;нет;Во двор;Совмещенный (1);2017;да;https://www.cian.ru/sale/flat/156725878
